ID	HPO_Terms	Diagnostic_Genes
UDN504275	HP:0001250; HP:0001298; HP:0000953; HP:0003256; HP:0003281; HP:0004448; HP:0100520; HP:0001876; HP:0001987	MT-TQ
UDN754496	HP:0000098; HP:0000403; HP:0000545; HP:0001290; HP:0001348; HP:0000657; HP:0000722; HP:0000729; HP:0000739; HP:0001250; HP:0006817; HP:0007018; HP:0007703; HP:0007773; HP:0010526; HP:0010535; HP:0011342; HP:0001848; HP:0002018; HP:0002020; HP:0002027; HP:0002064; HP:0002119; HP:0030081; HP:0030329; HP:0002315; HP:0002403; HP:0002419; HP:0002578; HP:0002579; HP:0002960; HP:0005263; HP:0005709	LAMA1
UDN557315	HP:0000020; HP:0002174; HP:0002312; HP:0002354; HP:0002378; HP:0002527; HP:0012444; HP:0012675; HP:0100543; HP:0001251; HP:0001260; HP:0001272; HP:0001310; HP:0001337; HP:0001347; HP:0001350; HP:0001387; HP:0006956; HP:0010546; HP:0010794; HP:0003552; HP:0002015; HP:0002061; HP:0002063; HP:0002072; HP:0002075; HP:0002141; HP:0000716; HP:0000726	PRNP
UDN528471	HP:0007413; HP:0007678; HP:0008720; HP:0010536; HP:0011205; HP:0011344; HP:0001252; HP:0001260; HP:0001269; HP:0001279; HP:0001288; HP:0001324; HP:0001332; HP:0001336; HP:0001382; HP:0001508; HP:0001631; HP:0001680; HP:0001682; HP:0001695; HP:0001711; HP:0001741; HP:0001763; HP:0001864; HP:0001873; HP:0001903; HP:0001999; HP:0002015; HP:0002018; HP:0002019; HP:0002020; HP:0002027; HP:0002072; HP:0002076; HP:0002079; HP:0002099; HP:0002119; HP:0002141; HP:0002904; HP:0002944; HP:0003102; HP:0003302; HP:0003304; HP:0003326; HP:0004209; HP:0004305; HP:0004322; HP:0004325; HP:0004383; HP:0004396; HP:0004406; HP:0005180; HP:0000670; HP:0000682; HP:0000716; HP:0000718; HP:0000736; HP:0000739; HP:0000750; HP:0000823; HP:0000925; HP:0000938; HP:0000939; HP:0000964; HP:0000967; HP:0000975; HP:0001034; HP:0001249; HP:0001250; HP:0011603; HP:0012378; HP:0012405; HP:0012450; HP:0012471; HP:0012531; HP:0045017; HP:0045075; HP:0100512; HP:0100543; HP:0100598; HP:0100785; HP:0430028; HP:0000077; HP:0000121; HP:0000135; HP:0000154; HP:0000278; HP:0000294; HP:0000316; HP:0000322; HP:0000341; HP:0000358; HP:0000396	SPOP
UDN924574	HP:0000358; HP:0001332; HP:0001344; HP:0001508; HP:0000549; HP:0000577; HP:0000666; HP:0000684; HP:0000737; HP:0000960; HP:0000965; HP:0001007; HP:0001027; HP:0001182; HP:0012736; HP:0012762; HP:0003186; HP:0004322; HP:0002188; HP:0002267; HP:0002353; HP:0002421; HP:0002500; HP:0002509; HP:0002540; HP:0100704; HP:0200136; HP:0007105; HP:0007552; HP:0008936; HP:0010801; HP:0010804; HP:0002020; HP:0002046; HP:0002079; HP:0002118	UBA5
UDN765460	HP:0003006; HP:0007069; HP:0007321; HP:0011352; HP:0000639; HP:0001250; HP:0001272; HP:0001285; HP:0001332; HP:0001344; HP:0001508; HP:0002445; HP:0002540; HP:0002650; HP:0012695; HP:0012696; HP:0012736; HP:0030682; HP:0100021; HP:0001644; HP:0002019; HP:0002020; HP:0100633; HP:0100704	MIPEP
UDN294546	HP:0012450; HP:0000639; HP:0000733; HP:0001018; HP:0001072; HP:0001156; HP:0002353; HP:0002595; HP:0002625; HP:0002705; HP:0100580; HP:0100785; HP:0001792; HP:0001800; HP:0001852; HP:0001876; HP:0001891; HP:0002066; HP:0002136; HP:0006956; HP:0007477; HP:0008583; HP:0008780; HP:0010864; HP:0001263; HP:0001344; HP:0003281; HP:0003808; HP:0004322; HP:0004394; HP:0000016; HP:0000132; HP:0000252; HP:0000278; HP:0000347; HP:0000400; HP:0000486; HP:0000494	RNU4-2
UDN626747	HP:0005682; HP:0002315; HP:0002360; HP:0002460; HP:0002572; HP:0410281; HP:0000023; HP:0000678; HP:0001065; HP:0001596; HP:0009763; HP:0001382; HP:0001537; HP:0012095; HP:0012534; HP:0012764; HP:0020110	TNXB
UDN520173	HP:0012262; HP:0012265; HP:0012384; HP:0012388; HP:0012418; HP:0012652; HP:0012735; HP:0001061; HP:0010522; HP:0011108; HP:0011109; HP:0001279; HP:0001513; HP:0003193; HP:0004324; HP:0006528; HP:0006532; HP:0000172; HP:0000218; HP:0000256; HP:0000360; HP:0000364; HP:0000403; HP:0000421; HP:0002020; HP:0002094; HP:0002099; HP:0002102; HP:0002108; HP:0100749; HP:0100750; HP:0200048; HP:0002202; HP:0002315; HP:0002650; HP:0002795	DNAH11
UDN291995	HP:0001319; HP:0001382; HP:0033725; HP:0100807; HP:0430025; HP:0003326; HP:0001763; HP:0000194; HP:0000218; HP:0000347; HP:0000369; HP:0000508; HP:0011220	RAPSN
